"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1484","User login with  email or password","LMS system","Mon Feb 23 08:37:09 UTC 2026","passed","Mon Feb 23 08:37:11 UTC 2026","Aunthorization","Authentication","",""
"","1755","User login with  email or password","LMS system","Mon Feb 23 08:37:04 UTC 2026","passed","Mon Feb 23 08:37:06 UTC 2026","Aunthorization","Authentication","",""
"","1411","Check displaing of empty courses list","LMS system","Mon Feb 23 08:37:31 UTC 2026","passed","Mon Feb 23 08:37:33 UTC 2026","Courses","Courses","",""
"","2657","Create course","LMS system","Mon Feb 23 08:37:23 UTC 2026","passed","Mon Feb 23 08:37:25 UTC 2026","Courses","Courses","",""
"","1914","Check displaying of dashboard page","LMS system","Mon Feb 23 08:37:41 UTC 2026","passed","Mon Feb 23 08:37:43 UTC 2026","Dashboard","Dashboard","",""
"","2112","Check displaying of dashboard page","LMS system","Mon Feb 23 08:37:43 UTC 2026","passed","Mon Feb 23 08:37:45 UTC 2026","Dashboard","Dashboard","",""
"","2784","Edit course","LMS system","Mon Feb 23 08:37:33 UTC 2026","passed","Mon Feb 23 08:37:36 UTC 2026","Courses","Courses","",""
"","5273","Edit course","LMS system","Mon Feb 23 08:37:36 UTC 2026","passed","Mon Feb 23 08:37:41 UTC 2026","Courses","Courses","",""
"","1798","User login with  email or password","LMS system","Mon Feb 23 08:37:07 UTC 2026","passed","Mon Feb 23 08:37:08 UTC 2026","Aunthorization","Authentication","",""
"","2078","User login with  email or password","LMS system","Mon Feb 23 08:37:12 UTC 2026","passed","Mon Feb 23 08:37:14 UTC 2026","Aunthorization","Authentication","",""
"","1969","Registration with correct email and password","LMS system","Mon Feb 23 08:37:15 UTC 2026","passed","Mon Feb 23 08:37:17 UTC 2026","Registration","Authentication","",""
"","1659","User login with  email or password","LMS system","Mon Feb 23 08:37:02 UTC 2026","passed","Mon Feb 23 08:37:04 UTC 2026","Aunthorization","Authentication","",""
"","2214","Navigation from login page to registration page","LMS system","Mon Feb 23 08:36:53 UTC 2026","passed","Mon Feb 23 08:36:55 UTC 2026","Aunthorization","Authentication","",""
"","3511","User login correct  email or password","LMS system","Mon Feb 23 08:37:03 UTC 2026","passed","Mon Feb 23 08:37:07 UTC 2026","Aunthorization","Authentication","",""
"","3339","User login correct  email or password","LMS system","Mon Feb 23 08:36:33 UTC 2026","passed","Mon Feb 23 08:36:36 UTC 2026","Aunthorization","Authentication","",""
"","3572","Edit course","LMS system","Mon Feb 23 08:37:38 UTC 2026","passed","Mon Feb 23 08:37:42 UTC 2026","Courses","Courses","",""
"","9302","User login correct  email or password","LMS system","Mon Feb 23 08:36:53 UTC 2026","passed","Mon Feb 23 08:37:02 UTC 2026","Aunthorization","Authentication","",""
"","1682","User login with  email or password","LMS system","Mon Feb 23 08:37:08 UTC 2026","passed","Mon Feb 23 08:37:10 UTC 2026","Aunthorization","Authentication","",""
"","2737","Navigation from login page to registration page","LMS system","Mon Feb 23 08:36:57 UTC 2026","passed","Mon Feb 23 08:37:00 UTC 2026","Aunthorization","Authentication","",""
"","1853","Registration with correct email and password","LMS system","Mon Feb 23 08:37:18 UTC 2026","passed","Mon Feb 23 08:37:20 UTC 2026","Registration","Authentication","",""
"","1842","User login with  email or password","LMS system","Mon Feb 23 08:37:13 UTC 2026","passed","Mon Feb 23 08:37:15 UTC 2026","Aunthorization","Authentication","",""
"","1693","User login with  email or password","LMS system","Mon Feb 23 08:37:00 UTC 2026","passed","Mon Feb 23 08:37:02 UTC 2026","Aunthorization","Authentication","",""
"","2744","Create course","LMS system","Mon Feb 23 08:37:27 UTC 2026","passed","Mon Feb 23 08:37:30 UTC 2026","Courses","Courses","",""
"","2053","Navigation from login page to registration page","LMS system","Mon Feb 23 08:36:33 UTC 2026","passed","Mon Feb 23 08:36:35 UTC 2026","Aunthorization","Authentication","",""
"","1727","Check displaying of dashboard page","LMS system","Mon Feb 23 08:37:46 UTC 2026","passed","Mon Feb 23 08:37:47 UTC 2026","Dashboard","Dashboard","",""
"","2446","Registration with correct email and password","LMS system","Mon Feb 23 08:37:21 UTC 2026","passed","Mon Feb 23 08:37:23 UTC 2026","Registration","Authentication","",""
"","2731","Create course","LMS system","Mon Feb 23 08:37:26 UTC 2026","passed","Mon Feb 23 08:37:29 UTC 2026","Courses","Courses","",""
"","1754","Check displaing of empty courses list","LMS system","Mon Feb 23 08:37:29 UTC 2026","passed","Mon Feb 23 08:37:31 UTC 2026","Courses","Courses","",""
"","2177","User login with  email or password","LMS system","Mon Feb 23 08:37:16 UTC 2026","passed","Mon Feb 23 08:37:18 UTC 2026","Aunthorization","Authentication","",""
"","1767","Check displaing of empty courses list","LMS system","Mon Feb 23 08:37:33 UTC 2026","passed","Mon Feb 23 08:37:34 UTC 2026","Courses","Courses","",""
